exercise_id,Title,BodyPart,primary_muscle,secondary_muscles_str,movement_pattern
metaburn-alternating-plank-row-with-dumbbell-pull-through,MetaBurn Alternating Plank Row With Dumbbell Pull-Through,Abdominals,abdominals,biceps;forearms;obliques,pull
metaburn-alternating-plank-row-with-push-up,MetaBurn Alternating Plank Row With Push-Up,Abdominals,abdominals,triceps;shoulders;biceps,push
metaburn-dumbbell-russian-twist,MetaBurn Dumbbell Russian Twist,Abdominals,abdominals,,rotational
metaburn-dumbbell-toe-touch,MetaBurn Dumbbell Toe-Touch,Abdominals,abdominals,,push
metaburn-plank-to-alternating-row,MetaBurn Plank To Alternating Row,Abdominals,abdominals,biceps;forearms;obliques,pull
standing-dumbbell-knee-crunch,Standing dumbbell knee crunch-,Abdominals,abdominals,triceps;upper_chest,push
metaburn-plank-with-dumbbell-rotation,MetaBurn Plank With Dumbbell Rotation,Abdominals,abdominals,obliques;lower_back,rotational
fyr2-dumbbell-crab-reach,FYR2 Dumbbell Crab Reach,Abdominals,abdominals,,push
fyr2-dumbbell-man-maker,FYR2 Dumbbell Man-Maker,Abdominals,abdominals,,push
fyr2-dumbbell-sit-up-reach,FYR2 Dumbbell Sit-Up Reach,Abdominals,abdominals,,push
fyr2-loaded-beast-sprawl,FYR2 Loaded Beast Sprawl,Abdominals,abdominals,,push
fyr2-loaded-to-unloaded-beast,FYR2 Loaded to Unloaded Beast,Abdominals,abdominals,,push
lying-leg-pullover,Lying Leg Pullover,Abdominals,abdominals,,push
landmine-twist,Landmine twist,Abdominals,abdominals,,rotational
suspended-ab-fall-out,Suspended ab fall-out,Abdominals,abdominals,,push
decline-reverse-crunch,Decline reverse crunch,Abdominals,abdominals,,push
plate-twist,Plate Twist,Abdominals,abdominals,,rotational
weighted-crunches,Weighted Crunches,Abdominals,abdominals,,push
ab-roller,Ab Roller,Abdominals,abdominals,,push
otis-up,Otis-Up,Abdominals,abdominals,triceps;shoulders,push
captain-s-chair-knee-raise,Captain's chair knee raise,Abdominals,abdominals,,push
sledgehammer-swing,Sledgehammer swing,Abdominals,abdominals,triceps;upper_chest,push
decline-bar-press-sit-up,Decline bar press sit-up,Abdominals,abdominals,triceps;shoulders,push
pallof-press,Pallof press,Abdominals,abdominals,triceps;shoulders;obliques,push
weighted-sit-ups-with-bands,Weighted Sit-Ups - With Bands,Abdominals,abdominals,,push
suitcase-crunch,Suitcase crunch,Abdominals,abdominals,,push
fyr-rope-jumping,FYR Rope Jumping,Abdominals,abdominals,,push
barbell-press-sit-up,Barbell press sit-up,Abdominals,abdominals,triceps;shoulders,push
single-arm-bent-over-rear-delt-fly,Single-arm bent-over rear delt fly,Abdominals,abdominals,,push
captain-s-chair-leg-raise,Captain's chair leg raise,Abdominals,abdominals,,push
shoulder-elevated-one-leg-hip-thrusts,Shoulder-Elevated One-Leg Hip Thrusts,Abdominals,abdominals,,push
ab-twist-gethin-variation,Ab Twist - Gethin Variation,Abdominals,abdominals,,rotational
weighted-crunch-gethin-variation,Weighted Crunch - Gethin Variation,Abdominals,abdominals,,push
ab-wheel-roll-out-gethin-variation,Ab Wheel Roll-Out - Gethin Variation,Abdominals,abdominals,,push
bench-crunch,Bench crunch,Abdominals,abdominals,triceps;shoulders,push
decline-plate-sit-up-twist,Decline plate sit-up twist,Abdominals,abdominals,,rotational
reverse-ab-roll-out,Reverse ab roll-out,Abdominals,abdominals,,push
30-seated-twist-with-pvc-pipe,30 Seated Twist With PVC Pipe,Abdominals,abdominals,,rotational
suspended-crunch,Suspended crunch-,Abdominals,abdominals,,push
suspended-oblique-crunch,Suspended oblique crunch,Abdominals,abdominals,,push
weighted-sit-up,Weighted sit-up,Abdominals,abdominals,,push
30-decline-press-sit-up,30 Decline Press Sit-Up,Abdominals,abdominals,triceps;shoulders,push
holman-towel-reverse-plank-alternating-heel-pull-in,Holman Towel Reverse Plank Alternating Heel Pull-in,Abdominals,abdominals,obliques;lower_back,plank
holman-boat-with-weighted-cross-punch,Holman Boat with Weighted Cross Punch,Abdominals,abdominals,,push
holman-weighted-hook-punch,Holman Weighted Hook Punch,Abdominals,abdominals,,push
holman-weighted-traveling-punch,Holman Weighted Traveling Punch,Abdominals,abdominals,,push
holman-weighted-uppercut-punch,Holman Weighted Uppercut Punch,Abdominals,abdominals,,push
holman-slow-weighted-double-pike,Holman Slow Weighted Double Pike,Abdominals,abdominals,,push
holman-plate-straight-plank-reach,Holman Plate Straight Plank Reach,Abdominals,abdominals,obliques;lower_back,plank
holman-plate-elbow-plank-jack-to-straight-plank-jack,Holman Plate Elbow Plank Jack to Straight Plank Jack,Abdominals,abdominals,obliques;lower_back,plank
holman-plate-hill-climber,Holman Plate Hill Climber,Abdominals,abdominals,,push
holman-plate-reverse-plank-hill-climber,Holman Plate Reverse Plank Hill Climber,Abdominals,abdominals,obliques;lower_back,plank
holman-plate-straight-plank-pike-to-jack,Holman Plate Straight Plank Pike to Jack,Abdominals,abdominals,obliques;lower_back,plank
holman-plate-in-and-out-push-up,Holman Plate In-and-Out Push-Up,Abdominals,abdominals,triceps;shoulders,push
holman-plate-burpee,Holman Plate Burpee,Abdominals,abdominals,,push
holman-plate-elbow-plank-reach,Holman Plate Elbow Plank Reach,Abdominals,abdominals,obliques;lower_back,plank
holman-elbow-plank-to-renegade-row,Holman Elbow Plank to Renegade Row,Abdominals,abdominals,biceps;forearms;obliques,pull
holman-straight-plank-weighted-hand-hill-climber,Holman Straight Plank Weighted Hand Hill Climber,Abdominals,abdominals,obliques;lower_back,plank
holman-weighted-left-side-diagonal-pike,Holman Weighted Left Side Diagonal Pike,Abdominals,abdominals,,push
holman-weighted-right-side-diagonal-pike,Holman Weighted Right Side Diagonal Pike,Abdominals,abdominals,,push
holman-weighted-w-boat-to-overhead-press,Holman Weighted W-Boat to Overhead Press,Abdominals,abdominals,triceps;shoulders;upper_chest,push
holman-weighted-kneeling-lift,Holman Weighted Kneeling Lift,Abdominals,abdominals,,push
holman-hips-up-weighted-pull-over,Holman Hips-Up Weighted Pull-Over,Abdominals,abdominals,,push
holman-weighted-cross-punch,Holman Weighted Cross Punch,Abdominals,abdominals,,push
holman-straight-leg-boat-hover-chest-press,Holman Straight-Leg Boat Hover Chest Press,Abdominals,abdominals,triceps;shoulders,push
holman-weighted-pike,Holman Weighted Pike,Abdominals,abdominals,,push
holman-feet-elevated-wax-on-wax-off,Holman Feet-Elevated Wax-On Wax-Off,Abdominals,abdominals,,push
holman-elbow-plank-to-towel-pike,Holman Elbow Plank to Towel Pike,Abdominals,abdominals,obliques;lower_back,plank
holman-seated-killer-abs-overhead-press,Holman Seated Killer Abs Overhead Press,Abdominals,abdominals,triceps;shoulders;upper_chest,push
holman-straight-plank-alternating-weighted-open,Holman Straight Plank Alternating Weighted Open,Abdominals,abdominals,obliques;lower_back,plank
holman-weighted-killer-abs-with-overhead-press,Holman Weighted Killer Abs with Overhead Press,Abdominals,abdominals,triceps;shoulders;upper_chest,push
holman-weighted-split-leg-pike,Holman Weighted Split-Leg Pike,Abdominals,abdominals,,push
holman-towel-reverse-plank-heel-pull-in,Holman Towel Reverse Plank Heel Pull-in,Abdominals,abdominals,obliques;lower_back,plank
stick-twist,Stick Twist,Abdominals,abdominals,,rotational
roc-everest,Roc Everest,Abdominals,abdominals,,push
standing-cable-low-to-high-twist,Standing cable low-to-high twist,Abdominals,abdominals,,rotational
single-arm-high-cable-side-bend,Single-arm high-cable side bend,Abdominals,abdominals,,push
kneeling-cable-oblique-crunch,Kneeling cable oblique crunch,Abdominals,abdominals,,push
kneeling-cable-crunch,Kneeling cable crunch,Abdominals,abdominals,,push
rope-crunch,Rope Crunch,Abdominals,abdominals,,push
standing-cable-crunch,Standing cable crunch,Abdominals,abdominals,,push
bosu-ball-cable-crunch-with-side-bends,Bosu Ball Cable Crunch With Side Bends,Abdominals,abdominals,,push
standing-cable-wood-chop,Standing Cable Wood Chop,Abdominals,abdominals,,push
cable-reverse-crunch,Cable reverse crunch,Abdominals,abdominals,,push
cable-russian-twists,Cable Russian Twists,Abdominals,abdominals,,rotational
pallof-press-with-rotation,Pallof press with rotation,Abdominals,abdominals,triceps;shoulders;obliques,push
cable-seated-crunch,Cable Seated Crunch,Abdominals,abdominals,,push
cable-judo-flip,Cable Judo Flip,Abdominals,abdominals,,push
exercise-ball-cable-crunch-gethin-variation,Exercise Ball Cable Crunch - Gethin Variation,Abdominals,abdominals,triceps;shoulders,push
standing-cable-high-to-low-twist,Standing cable high-to-low twist,Abdominals,abdominals,,rotational
bent-over-reverse-cable-fly,Bent-Over Reverse Cable Fly,Abdominals,abdominals,,push
standing-cable-crunch-gethin-variation,Standing Cable Crunch - Gethin Variation,Abdominals,abdominals,,push
am-cable-crunch,AM Cable Crunch,Abdominals,abdominals,,push
tyler-holt-weighted-knee-to-chest-crunch,Tyler Holt Weighted Knee-To-Chest Crunch,Abdominals,abdominals,,push
standing-cable-twist,Standing cable twist,Abdominals,abdominals,,rotational
30-cable-rope-crunch,30 Cable Rope Crunch,Abdominals,abdominals,,push
30-cable-rope-oblique-crunch,30 Cable Rope Oblique Crunch,Abdominals,abdominals,,push
cable-lying-twist-on-ball,Cable lying twist on ball,Abdominals,abdominals,,rotational
30-cable-pallof-press,30 Cable Pallof Press,Abdominals,abdominals,triceps;shoulders;obliques,push
30-cable-reverse-crunch-on-ball,30 Cable Reverse Crunch On Ball,Abdominals,abdominals,,push
30-cable-reverse-crunch,30 Cable Reverse Crunch,Abdominals,abdominals,,push
tyler-holt-cable-torso-twist,Tyler Holt Cable Torso Twist,Abdominals,abdominals,,rotational
single-arm-cable-outward-facing-biceps-curl,Single-Arm Cable Outward-Facing Biceps Curl,Abdominals,abdominals,forearms,push
biceps-rope-curl,Biceps Rope Curl,Abdominals,abdominals,forearms,push
kneeling-cable-crunches,Kneeling Cable Crunches,Abdominals,abdominals,,push
ab-crunch-machine,Ab Crunch Machine,Abdominals,abdominals,forearms,push
smith-machine-straight-legged-hip-raise,Smith machine straight-legged hip raise,Abdominals,abdominals,,push
machine-crunch,Machine crunch,Abdominals,abdominals,forearms,push
am-ab-machine,AM Ab Machine,Abdominals,abdominals,,push
smith-machine-v-up,Smith machine V-up,Abdominals,abdominals,,push
elbow-plank,Elbow plank,Abdominals,abdominals,obliques;lower_back,plank
bottoms-up,Bottoms Up,Abdominals,abdominals,,push
spider-crawl,Spider crawl,Abdominals,abdominals,,push
cocoons,Cocoons,Abdominals,abdominals,triceps;upper_chest,push
cross-body-crunch,Cross-Body Crunch,Abdominals,abdominals,,push
elbow-to-knee-crunch,Elbow-to-knee crunch,Abdominals,abdominals,,push
decline-crunch,Decline Crunch,Abdominals,abdominals,,push
hanging-toes-to-bar,Hanging toes-to-bar,Abdominals,abdominals,biceps;forearms,push
hanging-oblique-knee-raise,Hanging Oblique Knee Raise,Abdominals,abdominals,,push
gorilla-chin-crunch,Gorilla Chin/Crunch,Abdominals,abdominals,,push
hanging-leg-raise,Hanging leg raise,Abdominals,abdominals,,push
mountain-climber,Mountain climber,Abdominals,abdominals,obliques;lower_back,push
ab-bicycle,Ab bicycle,Abdominals,abdominals,,push
3-4-sit-up,3/4 sit-up,Abdominals,abdominals,,push
reverse-crunch,Reverse crunch,Abdominals,abdominals,triceps;shoulders,push
crunches,Crunches,Abdominals,abdominals,,push
dead-bug-reach,Dead bug reach,Abdominals,abdominals,,plank
crunch-hands-overhead,Crunch - Hands Overhead,Abdominals,abdominals,triceps;upper_chest,push
v-up,V-up,Abdominals,abdominals,,push
stomach-vacuum,Stomach Vacuum,Abdominals,abdominals,,push
russian-twist,Russian twist,Abdominals,abdominals,,rotational
flat-bench-lying-leg-raise,Flat Bench Lying Leg Raise,Abdominals,abdominals,triceps;shoulders,push
knees-tucked-crunch,Knees tucked crunch,Abdominals,abdominals,,push
butt-ups,Butt-Ups,Abdominals,abdominals,,push
feet-elevated-oblique-crunch,Feet-elevated oblique crunch,Abdominals,abdominals,triceps;shoulders,push
bent-knee-reverse-crunch,Bent-knee reverse crunch,Abdominals,abdominals,,push
alternating-heel-touch,Alternating heel-touch,Abdominals,abdominals,,push
suspended-reverse-crunch,Suspended Reverse Crunch,Abdominals,abdominals,,push
lying-bench-reverse-crunch,Lying bench reverse crunch,Abdominals,abdominals,triceps;shoulders,push
sit-up,Sit-up,Abdominals,abdominals,triceps;shoulders,push
side-bridge,Side Bridge,Abdominals,abdominals,forearms;obliques;lower_back,push
lying-oblique-crunch,Lying oblique crunch,Abdominals,abdominals,,push
janda-sit-up,Janda Sit-Up,Abdominals,abdominals,,push
leg-pull-in,Leg Pull-In,Abdominals,abdominals,triceps;shoulders,push
side-jackknife,Side Jackknife,Abdominals,abdominals,,push
scissor-kick,Scissor Kick,Abdominals,abdominals,,push
toe-touchers,Toe Touchers,Abdominals,abdominals,,push
lower-back-curl,Lower Back Curl,Abdominals,abdominals,forearms,push
exercise-ball-torso-rotation,Exercise ball torso rotation,Abdominals,abdominals,,rotational
seated-overhead-stretch,Seated Overhead Stretch,Abdominals,abdominals,triceps;upper_chest,push
overhead-stretch,Overhead Stretch,Abdominals,abdominals,triceps;upper_chest,push
seated-scissor-kick,Seated Scissor Kick,Abdominals,abdominals,,push
partner-resistance-standing-twist,Partner resistance standing twist,Abdominals,abdominals,,rotational
cross-crunch,Cross Crunch,Abdominals,abdominals,,push
full-moon,Full Moon,Abdominals,abdominals,,push
hanging-knee-raise-with-manual-resistance,Hanging knee raise with manual resistance,Abdominals,abdominals,,push
straight-legged-hip-raise,Straight-Legged Hip Raise,Abdominals,abdominals,,push
wall-mountain-climber,Wall mountain climber,Abdominals,abdominals,,push
skin-the-cat-to-push-up,Skin The Cat To Push-Up,Abdominals,abdominals,triceps;shoulders,push
partner-lying-leg-raise-with-lateral-throw-down,Partner lying leg raise with lateral throw down,Abdominals,abdominals,,pull
hanging-leg-raise-with-throw-down,Hanging leg raise with throw down,Abdominals,abdominals,,pull
partner-sit-up-with-high-five,Partner sit-up with high-five,Abdominals,abdominals,,push
exercise-ball-knee-roll-in,Exercise ball knee roll-in,Abdominals,abdominals,triceps;shoulders;obliques,push
partner-lying-leg-raise-with-throw-down,Partner lying leg raise with throw down,Abdominals,abdominals,,pull
crab-toe-touch,Crab toe-touch,Abdominals,abdominals,,push
side-kick-through,Side kick-through,Abdominals,abdominals,,push
partner-target-sit-up,Partner target sit-up,Abdominals,abdominals,,push
suspended-crunch,Suspended Crunch,Abdominals,abdominals,,push
jump-lunge,Jump Lunge,Abdominals,abdominals,glutes;hamstrings;core,squat
side-plank-hip-dip,Side plank hip dip,Abdominals,abdominals,triceps;shoulders;obliques,push
elbow-plank-jack,Elbow plank jack,Abdominals,abdominals,obliques;lower_back,plank
exercise-ball-v-up,Exercise ball V-up,Abdominals,abdominals,,push
standing-torso-twist-stretch,Standing torso twist stretch,Abdominals,abdominals,,rotational
slalom-jumps,Slalom jumps,Abdominals,abdominals,,push
bear-crawl,Bear crawl,Abdominals,abdominals,,push
crab-single-arm-reach,Crab single-arm reach,Abdominals,abdominals,,push
side-lunge-cross-body-heel-touch,Side lunge cross-body heel-touch,Abdominals,abdominals,glutes;hamstrings;core,squat
alligator-crawl,Alligator Crawl,Abdominals,abdominals,,push
lying-cross-over-lower-back-stretch,Lying cross-over lower back stretch,Abdominals,abdominals,,push
half-bird-dog,Half bird dog,Abdominals,abdominals,,plank
shoulder-tap,Shoulder tap,Abdominals,abdominals,triceps;shoulders,push
double-crunch,Double crunch,Abdominals,abdominals,,push
flutter-kick,Flutter kick,Abdominals,abdominals,,push
sprawl,Sprawl,Abdominals,abdominals,triceps;shoulders;obliques,push
spider-plank-jack,Spider plank jack,Abdominals,abdominals,obliques;lower_back,plank
pillar-to-plank,Pillar-To-Plank,Abdominals,abdominals,obliques;lower_back,plank
alternating-high-knee-raise,Alternating High Knee Raise,Abdominals,abdominals,,push
sumo-squat-pulse,Sumo Squat Pulse,Abdominals,abdominals,glutes;hamstrings;core,squat
line-drill-foot-work,Line-Drill Foot Work,Abdominals,abdominals,,push
plank-fire-hydrants,Plank Fire Hydrants,Abdominals,abdominals,obliques;lower_back,plank
banded-jumping-jack,Banded jumping jack,Abdominals,abdominals,,push
shin-hug,Shin hug,Abdominals,abdominals,,push
fyr-bear-crawl-fire-feet,FYR Bear Crawl Fire Feet,Abdominals,abdominals,,push
bear-crawl-up-down,Bear crawl up-down,Abdominals,abdominals,,push
fyr-crab-kick,FYR Crab Kick,Abdominals,abdominals,,push
bear-crawl-hold,Bear crawl hold,Abdominals,abdominals,,push
traveling-bear-crawl,Traveling bear crawl,Abdominals,abdominals,,push
single-leg-v-up,Single-leg V-up,Abdominals,abdominals,,push
fyr-bear-crawl-shoulder-tap,FYR Bear Crawl Shoulder Tap,Abdominals,abdominals,,push
alternating-single-leg-sprawl,Alternating single-leg sprawl,Abdominals,abdominals,obliques;lower_back,push
wide-mountain-climber,Wide mountain climber,Abdominals,abdominals,,push
plank-leg-raise,Plank leg raise,Abdominals,abdominals,obliques;lower_back,plank
glute-bridge-step-out,Glute bridge step-out,Abdominals,abdominals,hamstrings;core,push
knee-up-down,Knee up-down,Abdominals,abdominals,glutes;hamstrings;core,push
fyr-sprawl,FYR Sprawl,Abdominals,abdominals,triceps;shoulders;obliques,push
reach-crunch,Reach crunch,Abdominals,abdominals,,push
fyr-push-up-plank-hold,FYR Push-Up Plank Hold,Abdominals,abdominals,triceps;shoulders;obliques,push
fyr-hollow-body-rock,FYR Hollow-Body Rock,Abdominals,abdominals,obliques;lower_back,plank
v-up-plus-knee-to-chest-combo,V-up plus knee-to-chest combo,Abdominals,abdominals,,push
side-plank-lateral-raise,Side plank lateral raise,Abdominals,abdominals,obliques;lower_back,plank
superhero-burpee,Superhero burpee,Abdominals,abdominals,,push
hollow-body-abduction,Hollow-body abduction,Abdominals,abdominals,obliques;lower_back,plank
fyr-hollow-hold,FYR Hollow Hold,Abdominals,abdominals,obliques;lower_back,plank
tip-toe-crunch,Tip-toe crunch,Abdominals,abdominals,,push
knee-to-nose-pulse,Knee-to-nose pulse,Abdominals,abdominals,obliques;lower_back,push
plank-walk-out,Plank walk-out,Abdominals,abdominals,obliques;lower_back,plank
fyr-v-up,FYR V-Up,Abdominals,abdominals,,push
long-sit-up,Long sit-up,Abdominals,abdominals,,push
fyr-breakdancer,FYR Breakdancer,Abdominals,abdominals,,push
seated-leg-lift,Seated leg lift,Abdominals,abdominals,,push
gorilla-burpee,Gorilla burpee,Abdominals,abdominals,glutes;hamstrings;core,push
knee-in-to-v-out,Knee-in to V-out,Abdominals,abdominals,,push
bear-crawl-push-up,Bear crawl push-up,Abdominals,abdominals,triceps;shoulders,push
fyr-front-step,FYR Front Step,Abdominals,abdominals,,push
plank-reach,Plank reach,Abdominals,abdominals,obliques;lower_back,plank
eiffel-tower-leg-raise,Eiffel Tower leg raise,Abdominals,abdominals,,push
straight-arm-plank,Straight-arm plank,Abdominals,abdominals,triceps;shoulders;obliques,plank
plank-up-down,Plank up-down,Abdominals,abdominals,triceps;shoulders;obliques,plank
frog-kick,Frog kick,Abdominals,abdominals,obliques;lower_back,push
fyr-knees-to-chest,FYR Knees to Chest,Abdominals,abdominals,obliques;lower_back,push
front-kick-through,Front kick-through,Abdominals,abdominals,,push
fyr-sit-up,FYR Sit-Up,Abdominals,abdominals,triceps;shoulders,push
fyr-leg-lift,FYR Leg Lift,Abdominals,abdominals,,push
tbs-toes-to-bar,TBS Toes-to-bar,Abdominals,abdominals,biceps;forearms,push
fyr-mountain-climber,FYR Mountain Climber,Abdominals,abdominals,obliques;lower_back,push
roman-chair-side-ups,Roman Chair Side Ups,Abdominals,abdominals,,push
push-up-roll-out-gethin-variation,Push-Up Roll Out - Gethin Variation,Abdominals,abdominals,triceps;shoulders,push
cross-body-crunch-gethin-variation,Cross-Body Crunch - Gethin Variation,Abdominals,abdominals,,push
decline-leg-lift-with-twist,Decline leg lift with twist,Abdominals,abdominals,,rotational
hanging-leg-raise-variation-gethin,Hanging Leg Raise - Variation Gethin,Abdominals,abdominals,,push
butterfly-crunch,Butterfly crunch,Abdominals,abdominals,,push
cross-body-mountain-climber,Cross-body mountain climber,Abdominals,abdominals,,push
flat-bench-lying-leg-raise-gethin-variation,Flat Bench Lying Leg Raise - Gethin Variation,Abdominals,abdominals,triceps;shoulders,push
lying-leg-lift,Lying leg lift,Abdominals,abdominals,,push
hanging-alternating-single-leg-raise,Hanging alternating single-leg raise,Abdominals,abdominals,,push
